material_id,formula,volume,density,crystal_system,nsites,elements,chemsys,band_gap,formation_energy_per_atom
mp-556775,ZnS,625.7453896855881,4.138664387036938,Trigonal,32,"S, Zn",S-Zn,2.0399,-0.9614513723437501
mp-556784,ZnS,860.0179119636547,4.140502680206261,Trigonal,44,"S, Zn",S-Zn,1.992,-0.962145614588067
mp-556815,ZnS,547.5848904962562,4.138228481131274,Trigonal,28,"S, Zn",S-Zn,2.0421,-0.961254834977678
mp-556950,ZnS,625.5037031536903,4.140263513368803,Trigonal,32,"S, Zn",S-Zn,2.032299999999999,-0.961743312968751
mp-556989,ZnS,705.0317461793645,4.13239396011343,Trigonal,36,"S, Zn",S-Zn,2.0305,-0.9612408289062511
mp-557009,ZnS,781.9485419329196,4.139898632655899,Trigonal,40,"S, Zn",S-Zn,2.0302,-0.96162488165625
mp-557026,ZnS,703.7083016729217,4.140165637770164,Trigonal,36,"S, Zn",S-Zn,2.023,-0.9618144119618071
mp-557054,ZnS,548.3203329263071,4.132678023438001,Trigonal,28,"S, Zn",S-Zn,1.689499999999999,-0.9609587028348221
mp-557058,ZnS,494.0271897235915,3.9315905280839822,Trigonal,24,"S, Zn",S-Zn,0.0,-0.754447628846726
mp-557062,ZnS,782.7085659514288,4.135878717029721,Trigonal,40,"S, Zn",S-Zn,2.0301,-0.96162693840625
mp-557175,ZnS,703.6637143353962,4.14042797751988,Trigonal,36,"S, Zn",S-Zn,2.027199999999999,-0.961819713072917
mp-557308,ZnS,391.1102609000953,4.138459180418014,Trigonal,20,"S, Zn",S-Zn,2.0245,-0.9618619499062501
mp-557346,ZnS,703.7403436138152,4.139977132245565,Trigonal,36,"S, Zn",S-Zn,2.0258,-0.9618181483506951
mp-557418,ZnS,781.890449366201,4.140206217097838,Trigonal,40,"S, Zn",S-Zn,2.018199999999999,-0.9616347606562491
mp-581405,ZnS,1619.0128067700862,3.998964907527228,Trigonal,80,"S, Zn",S-Zn,1.8885,-0.961452653388393
mp-581425,ZnS,1456.5769499305761,4.000432561751981,Trigonal,72,"S, Zn",S-Zn,2.018399999999999,-0.9615482249578391
mp-582680,ZnS,1456.1103543853246,4.001714459107337,Trigonal,72,"S, Zn",S-Zn,1.9845000000000002,-0.9613778745411701
mp-647075,ZnS,2593.357952286581,3.994435334097854,Trigonal,128,"S, Zn",S-Zn,1.9988000000000001,-0.9613578984040191
mp-680085,ZnS,1780.6575298703926,3.999541079378795,Trigonal,88,"S, Zn",S-Zn,2.0155,-0.961755887217936
mp-680087,ZnS,1781.10753534158,3.99853057589585,Trigonal,88,"S, Zn",S-Zn,2.0198,-0.961634657331573
mp-1196782,ZnS,732.0562290845999,3.979843096537789,Trigonal,36,"S, Zn",S-Zn,1.986399999999999,-0.95030139593006
mp-1198139,ZnS,734.9763397125912,3.96403091117073,Trigonal,36,"S, Zn",S-Zn,1.9919,-0.9499906403745051
mp-1199343,ZnS,732.3170933538738,3.9784254062085243,Trigonal,36,"S, Zn",S-Zn,2.0023,-0.9499820337078381
mp-1200568,ZnS,735.7458667275099,3.959884875138361,Trigonal,36,"S, Zn",S-Zn,1.9998999999999991,-0.9495832545411721
mp-1200836,ZnS,735.0153974940927,3.963820267619967,Trigonal,36,"S, Zn",S-Zn,1.9881000000000002,-0.9499883873189501
mp-1201158,ZnS,734.8368370891498,3.964783449262998,Trigonal,36,"S, Zn",S-Zn,2.0046,-0.949672490096727
mp-1201781,ZnS,732.0869671487895,3.979675995253303,Trigonal,36,"S, Zn",S-Zn,1.9874,-0.9503019075967271
mp-1202023,ZnS,732.3375063775716,3.978314512404247,Trigonal,36,"S, Zn",S-Zn,2.0011,-0.94997389481895
mp-1202182,ZnS,734.9236543073599,3.964315085688287,Trigonal,36,"S, Zn",S-Zn,1.992999999999999,-0.9499937712078381
mp-1202959,ZnS,734.9871463532437,3.9639726273520193,Trigonal,36,"S, Zn",S-Zn,1.992499999999999,-0.9499904164856151
mp-13456,ZnS,195.5221102272339,4.139158092904608,Trigonal,10,"S, Zn",S-Zn,2.0416,-0.9614129104062491
mp-18377,ZnS,405.95115441196947,3.9871640520945393,Trigonal,20,"S, Zn",S-Zn,2.0462,-0.909932098263392
mp-543011,ZnS,284.34144030145967,3.984701257907226,Trigonal,14,"S, Zn",S-Zn,2.0396,-0.949586729263393
mp-554405,ZnS,195.63819592429417,4.136702043613275,Trigonal,10,"S, Zn",S-Zn,2.0715,-0.960316791406251
mp-555280,ZnS,234.58666022245666,4.139861614235314,Trigonal,12,"S, Zn",S-Zn,2.0347,-0.9615425430729161
mp-555410,ZnS,156.44462063376088,4.138445523331442,Trigonal,8,"S, Zn",S-Zn,2.064,-0.9610903139062501
mp-555763,ZnS,117.32830780091152,4.138627446645342,Trigonal,6,"S, Zn",S-Zn,2.0639,-0.960641818072916
mp-555858,ZnS,407.0522505291348,3.976378579589337,Trigonal,20,"S, Zn",S-Zn,2.0194,-0.910987171763393
mp-556105,ZnS,405.31321389033525,3.993439627200566,Trigonal,20,"S, Zn",S-Zn,2.010799999999999,-0.9107497342633921
mp-556468,ZnS,323.74639718611894,3.999658655900763,Trigonal,16,"S, Zn",S-Zn,2.032899999999999,-0.9506272111383921
mp-556576,ZnS,323.99433261578207,3.996597932340106,Trigonal,16,"S, Zn",S-Zn,2.0892,-0.949032164888393
mp-557151,ZnS,323.74255997424905,3.9997060625119643,Trigonal,16,"S, Zn",S-Zn,2.0574,-0.950627128638393
mp-581258,ZnS,486.97346727750545,3.988538904577278,Trigonal,24,"S, Zn",S-Zn,2.03,-0.9503385142633931
mp-581412,ZnS,486.8952199130244,3.989179889833755,Trigonal,24,"S, Zn",S-Zn,2.0194,-0.950873770096726
mp-581476,ZnS,487.23233702134837,3.986419767635655,Trigonal,24,"S, Zn",S-Zn,2.0314,-0.95088372343006
mp-581601,ZnS,486.99466245902653,3.988365313750514,Trigonal,24,"S, Zn",S-Zn,2.0189,-0.95088459968006
mp-581602,ZnS,486.9808619390813,3.988478339783698,Trigonal,24,"S, Zn",S-Zn,2.0309,-0.9503470092633931
mp-608468,ZnS,491.1288868256888,3.954792055272825,Trigonal,24,"S, Zn",S-Zn,1.9701,-0.9105117417633931
mp-10281,ZnS,156.45921392848314,4.138059521422718,Hexagonal,8,"S, Zn",S-Zn,2.0471,-0.9610861451562511
mp-560588,ZnS,78.24665654456005,4.13715785761638,Hexagonal,4,"S, Zn",S-Zn,2.0701,-0.9591730539062511
mp-560725,ZnS,625.4751534265004,4.140452495126357,Hexagonal,32,"S, Zn",S-Zn,2.0215,-0.9620437767187511
mp-561118,ZnS,312.6469831439459,4.14165224561266,Hexagonal,16,"S, Zn",S-Zn,2.0338,-0.9616786720312511
mp-561196,ZnS,547.3295125287475,4.140159333304246,Hexagonal,28,"S, Zn",S-Zn,2.0271,-0.9619825028348221
mp-561258,ZnS,390.9493542994755,4.140162483905286,Hexagonal,20,"S, Zn",S-Zn,2.0288,-0.96187158090625
mp-561286,ZnS,782.1918670666643,4.138610788290733,Hexagonal,40,"S, Zn",S-Zn,2.0218,-0.9621073766562501
