material_id,formula,volume,density,crystal_system,nsites,elements,chemsys,band_gap,formation_energy_per_atom,avg_coordination,avg_bond_length,electronegativity_diff,radii_ratio,avg_atomic_mass,packing_efficiency,symmetry_deviation
mp-1225676,Cu3Te2,97.75160693459394,7.573598425549872,Tetragonal,5,"Cu, Te",Cu-Te,0.0,-0.046105823999999004,8.4,2.7235558259515367,0.20000000000000018,1.037037037037037,95.573,0.07924412151496629,1
mp-624307,Cu7Te4,407.45295611017156,7.785848277644575,Trigonal,22,"Cu, Te",Cu-Te,0.0,0.084661953636361,9.0,2.7982937839621678,0.20000000000000018,1.037037037037037,95.573,0.08146493546968889,1
mp-1244890,ZnS,2502.916739121837,3.2334152880082963,Triclinic,100,"S, Zn",S-Zn,0.8751000000000001,-0.5132987818633921,3.18,2.370967558119446,0.9300000000000002,1.35,48.737,0.06634415922211659,1
mp-1244921,ZnS,2396.181021036189,3.377444849883982,Triclinic,100,"S, Zn",S-Zn,1.0343,-0.5211396588633921,3.28,2.37655052498229,0.9300000000000002,1.35,48.737,0.06929939983757682,1
mp-1244922,ZnS,2393.493708555356,3.381236900669817,Triclinic,100,"S, Zn",S-Zn,0.675199999999999,-0.545126070463392,3.33,2.377513289806307,0.9300000000000002,1.35,48.737,0.06937720624309697,1
mp-1244936,ZnS,2358.769478276966,3.431013214059465,Triclinic,100,"S, Zn",S-Zn,1.2384,-0.5192043799633911,3.11,2.3729241015278513,0.9300000000000002,1.35,48.737,0.07039853117876489,1
mp-1244969,ZnS,2327.1608270789975,3.477614935211221,Triclinic,100,"S, Zn",S-Zn,0.220399999999999,-0.534331314863392,3.3,2.3801104266131943,0.9300000000000002,1.35,48.737,0.0713547189037327,1
mp-1244974,ZnS,2278.4554984992583,3.551954055814996,Triclinic,100,"S, Zn",S-Zn,0.915999999999999,-0.49657768886339204,3.17,2.375344763731012,0.9300000000000002,1.35,48.737,0.07288003069156895,1
mp-1244979,ZnS,2365.20921388297,3.421671622698515,Triclinic,100,"S, Zn",S-Zn,0.891999999999999,-0.48028242806339205,3.16,2.3760748400214937,0.9300000000000002,1.35,48.737,0.07020685767894033,1
mp-1244980,ZnS,2425.069893267038,3.337210721784858,Triclinic,100,"S, Zn",S-Zn,1.3911,-0.617690840263392,3.3,2.3638783415437614,0.9300000000000002,1.35,48.737,0.0684738642465654,1
mp-1244986,ZnS,2484.8090732186774,3.256978307152291,Triclinic,100,"S, Zn",S-Zn,1.4153,-0.536222049163392,3.27,2.379442301226793,0.9300000000000002,1.35,48.737,0.06682763213066645,1
mp-1244989,ZnS,2298.268419005961,3.521333357741026,Triclinic,100,"S, Zn",S-Zn,0.9623,-0.5587857839633921,3.26,2.3781034045068425,0.9300000000000002,1.35,48.737,0.07225174626548671,1
mp-1245004,ZnS,2338.3135716626093,3.461028215789759,Triclinic,100,"S, Zn",S-Zn,0.8022,-0.511976676963391,3.21,2.3882052244215406,0.9300000000000002,1.35,48.737,0.07101438775036951,1
mp-1245034,ZnS,2478.0106348494173,3.265913848420675,Triclinic,100,"S, Zn",S-Zn,1.253099999999999,-0.5393336918633911,3.16,2.36360345795461,0.9300000000000002,1.35,48.737,0.06701097417610183,1
mp-1245035,ZnS,2421.5644553210377,3.342041642172807,Triclinic,100,"S, Zn",S-Zn,1.3048,-0.5252168988633921,3.23,2.3825127223609246,0.9300000000000002,1.35,48.737,0.06857298648199124,1
mp-1245050,ZnS,2322.1462980700703,3.4851246261333593,Triclinic,100,"S, Zn",S-Zn,0.8705,-0.477337978063392,3.16,2.378287798348876,0.9300000000000002,1.35,48.737,0.07150880493533371,1
mp-1245054,ZnS,2438.8863681258176,3.318305171842643,Triclinic,100,"S, Zn",S-Zn,0.909999999999999,-0.48602735536339203,3.07,2.3696623281234643,0.9300000000000002,1.35,48.737,0.06808595465134586,1
mp-1245062,ZnS,2372.096933462147,3.411736314281427,Triclinic,100,"S, Zn",S-Zn,0.712,-0.504452273463391,3.21,2.377723605578116,0.9300000000000002,1.35,48.737,0.07000300211915848,1
mp-1245068,ZnS,2307.4525405286226,3.507317748357403,Triclinic,100,"S, Zn",S-Zn,0.8362,-0.488017730363392,3.12,2.3709353948580776,0.9300000000000002,1.35,48.737,0.07196416989879154,1
mp-1245070,ZnS,2434.980536780617,3.323627900364432,Triclinic,100,"S, Zn",S-Zn,1.3785,-0.5573290808633921,3.19,2.3653262385281812,0.9300000000000002,1.35,48.737,0.06819516794969802,1
mp-1245082,ZnS,2408.0838528463414,3.360750598166495,Triclinic,100,"S, Zn",S-Zn,0.8844000000000001,-0.48887023696339105,3.19,2.3778465044281862,0.9300000000000002,1.35,48.737,0.0689568623051582,1
mp-1245117,ZnS,2382.666807148384,3.396601331167333,Triclinic,100,"S, Zn",S-Zn,0.338699999999999,-0.549747351363391,3.28,2.369337122415725,0.9300000000000002,1.35,48.737,0.06969245811534015,1
mp-1245121,ZnS,2400.8987700036114,3.37080819483124,Triclinic,100,"S, Zn",S-Zn,1.003799999999999,-0.552681039863391,3.17,2.36417894554194,0.9300000000000002,1.35,48.737,0.06916322701092065,1
mp-1245122,ZnS,2350.569076453085,3.442982948240086,Triclinic,100,"S, Zn",S-Zn,1.2726,-0.5625278723633911,3.3,2.3725561980889833,0.9300000000000002,1.35,48.737,0.07064412968053196,1
mp-1245136,ZnS,2378.6682585429953,3.402311028375854,Triclinic,100,"S, Zn",S-Zn,1.0427,-0.5182288950633911,3.25,2.376647975169571,0.9300000000000002,1.35,48.737,0.06980961135022373,1
mp-1245169,ZnS,2376.0502759796927,3.406059766791562,Triclinic,100,"S, Zn",S-Zn,0.907,-0.5106130324633921,3.22,2.384827593661941,0.9300000000000002,1.35,48.737,0.0698865290598839,1
mp-1245194,ZnS,2527.0330421917224,3.202557748065416,Triclinic,100,"S, Zn",S-Zn,1.2368000000000001,-0.562447296763391,3.18,2.3549182521729937,0.9300000000000002,1.35,48.737,0.06571101520539664,1
mp-1245197,ZnS,2425.529327505108,3.336578600438042,Triclinic,100,"S, Zn",S-Zn,0.860399999999999,-0.507225864763391,3.15,2.371671476001587,0.9300000000000002,1.35,48.737,0.06846089419615574,1
mp-1245199,ZnS,2378.481400509168,3.402578320417362,Triclinic,100,"S, Zn",S-Zn,1.253099999999999,-0.545662389063392,3.23,2.3706605001280847,0.9300000000000002,1.35,48.737,0.069815095726396,1
mp-1245201,ZnS,2358.1995722803117,3.4318423868861743,Triclinic,100,"S, Zn",S-Zn,0.8690999999999991,-0.514308150963391,3.31,2.378685697484816,0.9300000000000002,1.35,48.737,0.07041554438898935,1
mp-1245213,ZnS,2357.5104403792257,3.432845560415247,Triclinic,100,"S, Zn",S-Zn,0.8460999999999991,-0.549087007263392,3.25,2.3750143978123384,0.9300000000000002,1.35,48.737,0.0704361277964431,1
mp-1245216,ZnS,2286.8000931097704,3.538992880607663,Triclinic,100,"S, Zn",S-Zn,0.8600999999999991,-0.49473327896339203,3.22,2.3785577949518166,0.9300000000000002,1.35,48.737,0.07261408951325816,1
mp-1245220,ZnS,2397.8298400440794,3.375122418503077,Triclinic,100,"S, Zn",S-Zn,1.024,-0.5242152644633911,3.34,2.3948182732964813,0.9300000000000002,1.35,48.737,0.06925174751222021,1
mp-1245222,ZnS,2418.422053664449,3.346384158474641,Triclinic,100,"S, Zn",S-Zn,0.4752,-0.502049065563392,3.15,2.3683848597842783,0.9300000000000002,1.35,48.737,0.06866208749973615,1
mp-1245236,ZnS,2393.058730277403,3.381851496787245,Triclinic,100,"S, Zn",S-Zn,0.834399999999999,-0.533109064963391,3.16,2.362628458891637,0.9300000000000002,1.35,48.737,0.06938981670573167,1
mp-1245238,ZnS,2419.848123798667,3.344412060118927,Triclinic,100,"S, Zn",S-Zn,1.289399999999999,-0.502117678963392,3.21,2.372720165529447,0.9300000000000002,1.35,48.737,0.06862162340970775,1
mp-1245246,ZnS,2326.7999649713634,3.478154276570149,Triclinic,100,"S, Zn",S-Zn,0.8743000000000001,-0.5405927428633911,3.38,2.3885533395996106,0.9300000000000002,1.35,48.737,0.0713657852672538,1
mp-1245248,ZnS,2398.296071298702,3.374466291188975,Triclinic,100,"S, Zn",S-Zn,0.7802,-0.508109612463392,3.16,2.366474032965777,0.9300000000000002,1.35,48.737,0.06923828490036266,1
mp-1245280,ZnS,2342.7832214693335,3.454425136190244,Triclinic,100,"S, Zn",S-Zn,1.189599999999999,-0.525652903463392,3.31,2.3876387402921675,0.9300000000000002,1.35,48.737,0.0708789038346686,1
mp-1245296,ZnS,2361.327679035657,3.427296143919131,Triclinic,100,"S, Zn",S-Zn,0.8374,-0.48808263816339104,3.33,2.4061535711863242,0.9300000000000002,1.35,48.737,0.0703222632480278,1
mp-1245300,ZnS,2435.751286996472,3.3225761973702452,Triclinic,100,"S, Zn",S-Zn,1.1409,-0.5595285058633921,3.28,2.369792658708152,0.9300000000000002,1.35,48.737,0.06817358880050567,1
mp-1245310,ZnS,2431.095717979061,3.328938959102771,Triclinic,100,"S, Zn",S-Zn,0.5837999999999991,-0.5164420650633921,3.14,2.367166632215839,0.9300000000000002,1.35,48.737,0.0683041418040251,1
mp-1245316,ZnS,2428.825233332597,3.332050877034095,Triclinic,100,"S, Zn",S-Zn,0.6422000000000001,-0.490130888363391,2.98,2.3545247896285515,0.9300000000000002,1.35,48.737,0.06836799304499856,1
mp-1245317,ZnS,2407.2709811777554,3.361885434654698,Triclinic,100,"S, Zn",S-Zn,1.152499999999999,-0.5434274861633921,3.22,2.362656827096215,0.9300000000000002,1.35,48.737,0.0689801472116605,1
mp-1245319,ZnS,2366.3626003790646,3.4200038690571,Triclinic,100,"S, Zn",S-Zn,1.409299999999999,-0.526491948663392,3.28,2.377604655191918,0.9300000000000002,1.35,48.737,0.07017263822264604,1
mp-553880,ZnS,1017.3360865803754,4.136631015977919,Trigonal,52,"S, Zn",S-Zn,2.0298,-0.961803102944711,4.0,2.333553447836796,0.9300000000000002,1.35,48.737,0.08487660331940658,1
mp-553916,ZnS,938.2087131860818,4.140470222531364,Trigonal,48,"S, Zn",S-Zn,2.0251,-0.961964429531249,4.0,2.3328301321967575,0.9300000000000002,1.35,48.737,0.08495537728073874,1
mp-554004,ZnS,1096.4154453279523,4.133526938798199,Trigonal,56,"S, Zn",S-Zn,2.0279,-0.9612047906919651,4.0,2.3341387254348795,0.9300000000000002,1.35,48.737,0.08481291295726448,1
